comparison,mean_delta,boot_ci_low,boot_ci_high,wins,losses,ties,n_runs,n_matched_units,wilcoxon_p_greater,sign_test_p_greater
cgcma_auc_12 - cgcma_val_sharpe_12,0.44701775653208664,-0.9512221340149309,1.9113786972157336,6,4,0,2,10,0.2783203125,0.376953125
cgcma_auc_12 - learned_gate_val_sharpe_12,0.1801230850102409,-1.1058820823524016,1.4316413695899184,6,4,0,2,10,0.34765625,0.376953125
cgcma_auc_12 - price_only_anchor_12,0.21863990782541193,-0.36588090715661326,0.7529551541745623,6,4,0,2,10,0.2158203125,0.376953125
cgcma_auc_12 - timesnet_cgcma_val_sharpe_12,-0.08109279526029423,-1.2184699276195237,0.9787626180057686,4,6,0,2,10,0.5390625,0.828125
cgcma_auc_12 - timesnet_lite_auc_12,-0.17956513026275678,-1.2944506845693993,0.9167837258006095,4,6,0,2,10,0.6875,0.828125
cgcma_auc_12 - timesnet_moe_val_sharpe_12,0.8876380727822013,-0.48071089491097785,2.186071341636011,6,4,0,2,10,0.1376953125,0.376953125
