model,return_regime,n_windows,n_trades,trade_rate,sharpe,hit_rate
cgcma_anchor,sideways,379,225,0.5936675461741425,-2.751515665385973,0.4266666666666667
cgcma_anchor,up,1364,468,0.34310850439882695,1.1684286100111567,0.5384615384615384
cgcma_return_weighted,sideways,379,3,0.0079155672823219,-0.9908202823602499,0.3333333333333333
cgcma_return_weighted,up,1364,235,0.17228739002932553,-1.1912819627849556,0.48936170212765956
cgcma_utility_mean,sideways,379,7,0.018469656992084433,0.6229770125173809,0.7142857142857143
cgcma_utility_mean,up,1364,451,0.33064516129032256,-1.0210741482201489,0.5077605321507761
cgcma_utility_sharpe,sideways,379,123,0.3245382585751979,-4.195916387222786,0.3983739837398374
cgcma_utility_sharpe,up,1364,443,0.3247800586510264,-1.245473326055366,0.4853273137697517
price_only_anchor,sideways,379,240,0.633245382585752,-3.00291765094572,0.4166666666666667
price_only_anchor,up,1364,379,0.27785923753665687,0.6166888890990158,0.525065963060686
timesnet_cgcma_utility_mean,sideways,379,0,0.0,0.0,0.0
timesnet_cgcma_utility_mean,up,1364,560,0.41055718475073316,-1.6943180593736011,0.4875
timesnet_cgcma_utility_sharpe,sideways,379,0,0.0,0.0,0.0
timesnet_cgcma_utility_sharpe,up,1364,495,0.3629032258064516,-3.206884332193595,0.4505050505050505
timesnet_lite_anchor,sideways,379,94,0.24802110817941952,0.9475269652040067,0.5531914893617021
timesnet_lite_anchor,up,1364,535,0.39222873900293254,0.7486222467250757,0.491588785046729
