model,cost_bps,sharpe_mean,sharpe_std,sharpe_count,mdd_mean,mdd_std,mdd_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,total_return_mean,total_return_std,total_return_count,n_trades_mean,n_trades_std,n_trades_count
bilstm_fusion,0.0,-0.5690631724181824,1.6643045103325733,2,0.3285757202858992,0.028411348570016138,2,0.3057946069994263,0.1071005107477043,2,0.5305608160051001,0.03440272768872651,2,-0.0764399764475367,0.23989340059168052,2,533.0,186.67619023324855,2
bilstm_fusion,5.0,-2.353341990509901,1.123005944699268,2,0.424314311006346,0.01688367221857631,2,0.3057946069994263,0.1071005107477043,2,0.47503421896386855,0.01935716911728867,2,-0.3429399764475367,0.1465553054750562,2,533.0,186.67619023324855,2
bilstm_fusion,10.0,-4.109812994653712,0.5710372695798277,2,0.520702987902048,0.006777437931075339,2,0.3057946069994263,0.1071005107477043,2,0.42902518140738377,0.014244755136722633,2,-0.6094399764475367,0.053217210358431966,2,533.0,186.67619023324855,2
bilstm_fusion,20.0,-7.461610736788316,0.5267858276320416,2,0.6973828047191231,0.03971457808661862,2,0.3057946069994263,0.1071005107477043,2,0.31775261095381846,0.0014769785203191778,2,-1.1424399764475366,0.13345897987481684,2,533.0,186.67619023324855,2
cgcma,0.0,3.8212249647006127,2.323354468480628,2,0.09356321034415979,0.04635474254656254,2,0.17441193344807804,0.014604615101959678,2,0.6227033835729487,0.05485352522256751,2,0.4127004504404995,0.16673524406023735,2,304.0,25.45584412271571,2
cgcma,5.0,2.504932764960538,1.9480424721047458,2,0.11196586321578744,0.037593892293342264,2,0.17441193344807804,0.014604615101959678,2,0.5865873257177605,0.0532257330407109,2,0.26070045044049955,0.1540073219988796,2,304.0,25.45584412271571,2
cgcma,10.0,1.1428776189606218,1.5236603111442844,2,0.14508868276229658,0.05054478397844139,2,0.17441193344807804,0.014604615101959678,2,0.5427072927072927,0.04061802189633015,2,0.10870045044049953,0.14127939993752167,2,304.0,25.45584412271571,2
cgcma,20.0,-1.6311405140831194,0.5922850245514447,2,0.23398703478064625,0.11107551004134468,2,0.17441193344807804,0.014604615101959678,2,0.4483451331277418,0.015955434688199224,2,-0.19529954955950046,0.11582355581480595,2,304.0,25.45584412271571,2
dlinear,0.0,0.36178096041993557,1.3924545316069354,2,0.16415198260395303,0.06030728912682343,2,0.2544463568559954,0.11318576704018747,2,0.5207411754085042,0.045099841194212856,2,0.03188290887204063,0.16838879192048545,2,443.5,197.28279195104676,2
dlinear,5.0,-1.3519829564871702,1.8987376447785924,2,0.2507954249185632,0.14790704221993897,2,0.2544463568559954,0.11318576704018747,2,0.4779187731335199,0.04518362540025302,2,-0.1898670911279594,0.26703018789600885,2,443.5,197.28279195104676,2
dlinear,10.0,-3.046108221192266,2.3774457415282932,2,0.3410293278977135,0.21815212840639106,2,0.2544463568559954,0.11318576704018747,2,0.42108084318858896,0.02787221254270797,2,-0.41161709112795936,0.3656715838715322,2,443.5,197.28279195104676,2
dlinear,20.0,-6.283885009118615,3.23411860796734,2,0.5513229071591317,0.23601205311483306,2,0.2544463568559954,0.11318576704018747,2,0.3337207727724113,0.030465533205857157,2,-0.8551170911279594,0.562954375822579,2,443.5,197.28279195104676,2
early_fusion,0.0,0.9050500685142764,0.19794946849262088,2,0.18452755171492324,0.012476756020450725,2,0.2710843373493976,0.059635511666335336,2,0.5483420088683246,0.011382960522281998,2,0.11937248913067493,0.04610733570466284,2,472.5,103.94469683442249,2
early_fusion,5.0,-0.9130012736609605,0.11397846013848724,2,0.262987478859045,0.028318457532927457,2,0.2710843373493976,0.059635511666335336,2,0.4948910738384422,0.0160860998997518,2,-0.11687751086932516,0.005865012712548406,2,472.5,103.94469683442249,2
early_fusion,10.0,-2.716728043754934,0.025310835554607863,2,0.35959365951247574,0.05939876466100309,2,0.2710843373493976,0.059635511666335336,2,0.44192211297474454,0.005930045302027132,2,-0.3531275108693251,0.0578373611297596,2,472.5,103.94469683442249,2
early_fusion,20.0,-6.1766761377931045,0.18082493762300492,2,0.578343369461304,0.07666161223041443,2,0.2710843373493976,0.059635511666335336,2,0.33391170233275497,0.004362332176203909,2,-0.825627510869325,0.16178205796418207,2,472.5,103.94469683442249,2
itransformer_lite,0.0,0.05118128010081352,0.7445824694243055,2,0.2534574419831626,0.01306125591839283,2,0.6158921399885255,0.022312606405771776,2,0.4826596019957522,0.006946758050950181,2,0.01196575532999776,0.15294459792206805,2,1073.5,38.890872965260115,2
itransformer_lite,5.0,-2.5634328412393983,0.8867719429833254,2,0.45882223127703337,0.07699982024493536,2,0.6158921399885255,0.022312606405771776,2,0.4346900002257638,0.007184988749533234,2,-0.5247842446700023,0.1723900344046981,2,1073.5,38.890872965260115,2
itransformer_lite,10.0,-5.159328066493025,1.0222462766457459,2,0.6693571530967367,0.06523475443356622,2,0.6158921399885255,0.022312606405771776,2,0.38401948168100264,0.012594913195964461,2,-1.0615342446700022,0.19183547088732808,2,1073.5,38.890872965260115,2
itransformer_lite,20.0,-10.222775915126858,1.2692424990651416,2,0.8848858348737281,0.027760944106912256,2,0.6158921399885255,0.022312606405771776,2,0.2999111706201385,0.02338037827666014,2,-2.135034244670002,0.23072634385258806,2,1073.5,38.890872965260115,2
