model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,brier_mean,brier_std,trade_rate_mean,trade_rate_std,hit_rate_mean,hit_rate_std,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_total_return_mean,downstream_total_return_std,alpha_model_1_mean,alpha_model_1_std
ens_cgcma_timesnet,0.5665382721614605,0.0489783593883984,0.520313249133535,0.0990771984109566,0.5801797480848709,0.07649486329251198,0.25065277080065196,0.01007369684851097,0.22631246230287605,0.1890338930744949,0.47606967682665624,0.2096107802225077,0.3514254111792211,1.9398431597964636,10,0.04047691726056469,0.025540129263528315,0.046229367983390446,0.08146346437351516,0.43499999999999994,0.3697221178729296
ens_cgcma_priceweb,0.5379945106007239,0.02142270652269127,0.49676993020511623,0.07986730013108667,0.564009832427231,0.07966592854079134,0.2534713836282946,0.00802834745963995,0.21403978870772966,0.14357356228284016,0.453319510258095,0.1980169089644468,0.33443285569110265,1.4754284693277806,10,0.0429355353724531,0.024035300431178425,0.022871379552246586,0.0471618084120276,0.36,0.3695342413844157
ens_cgcma_early,0.5385798215024733,0.033292689221924715,0.49664080739364114,0.08578437667751931,0.561495265614613,0.0838001344618688,0.2540334931091012,0.007752776427837193,0.20082236234560563,0.14702077698877294,0.44624674120116464,0.22151039748588017,0.33113606993214717,1.4069765961000193,10,0.044379317316061616,0.04072969540435253,0.016044834837992017,0.046620686241568995,0.47000000000000003,0.32591750830880845
ens_cgcma_price,0.5327521631273289,0.03636109720689158,0.4748458457421217,0.08998124269297965,0.5714908913541723,0.07700122809505323,0.2529349417913237,0.005994680621830815,0.20618671054535104,0.1574364166261934,0.5192794767490247,0.13279327346216158,0.18003461521346392,1.9055854881320529,10,0.05821156326612298,0.04954643099343419,0.014149282619022078,0.04674137659656179,0.37500000000000006,0.36305034851319945
ens_cgcma_textweb,0.5278947980698104,0.03323231742364256,0.4664724778147244,0.08847889268953332,0.5464320513130045,0.07486447704835839,0.252733089599169,0.006478161852450856,0.1646455577431623,0.13899711313251933,0.4571530364558923,0.21461419409777543,-0.04089271089060671,1.9038891220049692,10,0.06257922414534065,0.073439719057374,-0.0157128399757103,0.10472251398484281,0.635,0.36746126024082837
