model,symbol,n_windows,n_trades,trade_rate,sharpe,hit_rate
cgcma_auc_12,BTCUSDT,1882,610,0.3241232731137088,-2.48092760140092,0.4557377049180328
cgcma_auc_12,ETHUSDT,1114,429,0.3850987432675045,-0.47088147426816535,0.5268065268065268
cgcma_auc_12,SOLUSDT,490,209,0.42653061224489797,1.6982883094127108,0.5406698564593302
cgcma_val_sharpe_12,BTCUSDT,1882,485,0.25770456960680127,-5.336781619330674,0.3979381443298969
cgcma_val_sharpe_12,ETHUSDT,1114,303,0.2719928186714542,-2.081464249191581,0.47854785478547857
cgcma_val_sharpe_12,SOLUSDT,490,146,0.2979591836734694,1.2708317152009119,0.5684931506849316
learned_gate_val_sharpe_12,BTCUSDT,1882,378,0.20085015940488843,-2.309541707268813,0.4656084656084656
learned_gate_val_sharpe_12,ETHUSDT,1114,268,0.24057450628366248,-1.5702033252288603,0.48507462686567165
learned_gate_val_sharpe_12,SOLUSDT,490,129,0.26326530612244897,1.4457130830564011,0.5271317829457365
price_only_anchor_12,BTCUSDT,1882,556,0.29543039319872477,-1.9574764918606724,0.4784172661870504
price_only_anchor_12,ETHUSDT,1114,371,0.33303411131059246,-2.569393710901589,0.4636118598382749
price_only_anchor_12,SOLUSDT,490,162,0.3306122448979592,3.357817318789584,0.5370370370370371
timesnet_cgcma_val_sharpe_12,BTCUSDT,1882,409,0.2173219978746015,-1.5607649835499817,0.4474327628361858
timesnet_cgcma_val_sharpe_12,ETHUSDT,1114,263,0.23608617594254938,-0.617193344482474,0.532319391634981
timesnet_cgcma_val_sharpe_12,SOLUSDT,490,117,0.23877551020408164,0.3020070925571765,0.5555555555555556
timesnet_lite_auc_12,BTCUSDT,1882,487,0.2587672688629118,-1.4712250181503128,0.4702258726899384
timesnet_lite_auc_12,ETHUSDT,1114,311,0.2791741472172352,-0.09787046411288468,0.5048231511254019
timesnet_lite_auc_12,SOLUSDT,490,135,0.2755102040816326,2.473344712053403,0.5185185185185185
timesnet_moe_val_sharpe_12,BTCUSDT,1882,640,0.34006376195536664,-4.90240662058364,0.4265625
timesnet_moe_val_sharpe_12,ETHUSDT,1114,424,0.38061041292639136,-2.035287524385364,0.5023584905660378
timesnet_moe_val_sharpe_12,SOLUSDT,490,181,0.3693877551020408,-0.3144219835068415,0.5193370165745856
