comparison,mean_delta,boot_ci_low,boot_ci_high,wins,losses,ties,n_runs,n_matched_units,wilcoxon_p_greater,sign_test_p_greater
timesnet_cgcma_val_sharpe_12 - cgcma_auc_12,0.08109279526029423,-0.9767145042527732,1.2184699276195237,6,4,0,2,10,0.5,0.376953125
timesnet_cgcma_val_sharpe_12 - cgcma_val_sharpe_12,0.528110551792381,-0.5948305957415034,1.598102862900006,6,4,0,2,10,0.1875,0.376953125
timesnet_cgcma_val_sharpe_12 - learned_gate_val_sharpe_12,0.26121588027053516,-1.0798940797243086,1.7238184025869985,5,5,0,2,10,0.5,0.623046875
timesnet_cgcma_val_sharpe_12 - price_only_anchor_12,0.2997327030857061,-0.8920294063189873,1.5528230116197155,6,4,0,2,10,0.4609375,0.376953125
timesnet_cgcma_val_sharpe_12 - timesnet_lite_auc_12,-0.09847233500246248,-1.0791721822023668,0.7535001573793721,5,5,0,2,10,0.4228515625,0.623046875
timesnet_cgcma_val_sharpe_12 - timesnet_moe_val_sharpe_12,0.9687308680424958,-0.12921561149174776,2.0548212731052735,7,3,0,2,10,0.0654296875,0.171875
