comparison,mean_delta,boot_ci_low,boot_ci_high,wins,losses,ties,n_runs,n_matched_units,wilcoxon_p_greater,sign_test_p_greater
cgcma_utility_mean - cgcma_anchor,-0.013768849942378657,-1.743871957135377,1.9267718331596164,2,3,0,1,5,0.59375,0.8125
cgcma_utility_mean - cgcma_return_weighted,0.4127576500521015,-1.0715332058521452,1.897048505956348,3,2,0,1,5,0.40625,0.5
cgcma_utility_mean - cgcma_utility_sharpe,0.983003492547871,-0.7169055296592746,3.045838230190919,3,2,0,1,5,0.3125,0.5
cgcma_utility_mean - price_only_anchor,0.2422538252290813,-1.632275071887803,2.1663193988911313,2,3,0,1,5,0.59375,0.8125
cgcma_utility_mean - timesnet_cgcma_utility_mean,0.44506560090363134,-0.6967863780141679,1.2467519987413007,4,1,0,1,5,0.3125,0.1875
cgcma_utility_mean - timesnet_cgcma_utility_sharpe,0.9347771758971921,-0.5355060956388831,2.1897823277889,4,1,0,1,5,0.15625,0.1875
cgcma_utility_mean - timesnet_lite_anchor,-0.6472211494699338,-2.2630000915423247,0.9203546726169153,2,3,0,1,5,0.78125,0.8125
