model,accuracy_mean,accuracy_std,accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,auc_mean,auc_std,auc_count,brier_mean,brier_std,brier_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_mdd_count,downstream_total_return_mean,downstream_total_return_std,downstream_total_return_count,cost_bps_mean,cost_bps_std,cost_bps_count,long_threshold_mean,long_threshold_std,long_threshold_count,short_threshold_mean,short_threshold_std,short_threshold_count
cgcma_auc_12,0.5318986492221158,0.016217851189944364,2,0.4819285613406529,0.010117386196482043,2,0.5639127760311532,0.020167265986647597,2,0.2571708613251501,0.005334160884599402,2,0.3530132828289634,0.050245818146887264,2,0.5052420167157295,0.0036676526951151807,2,-0.12171076789966455,0.14420231194506444,2,0.09050731846012094,0.006360652038255005,2,-0.016706610905054348,0.024167625500048258,2,5.0,0.0,2,0.562,0.02545584412271573,2,0.4189999999999998,0.012727922061357866,2
cgcma_val_sharpe_12,0.5066935767856205,0.018429258844656893,2,0.4351877735782343,0.036208016009130414,2,0.551594120753947,0.016013966421952793,2,0.2634173337702925,0.011471082827523014,2,0.2831519472522914,0.035122148847235614,2,0.43455014363141187,0.02308857474799076,2,-0.5687285244317513,0.25674160683342134,2,0.1081993557996106,0.021108409581969596,2,-0.07874155051134371,0.021538439562007766,2,5.0,0.0,2,0.5980000000000001,0.008485281374238578,2,0.4249999999999998,0.021213203435596427,2
learned_gate_val_sharpe_12,0.5118454708976391,0.02630270644164718,2,0.4621296217904387,0.023927829162804132,2,0.5602343808499808,0.001603746984235025,2,0.2538752698517006,0.0024125786809168523,2,0.2287970239760653,0.002852131053260581,2,0.4394207545268535,0.027902405562860978,2,-0.30183385290990544,0.5956173600643485,2,0.06775566731474215,0.016009185425679404,2,-0.026439722059633,0.013769996636429006,2,5.0,0.0,2,0.5830000000000001,0.021213203435596444,2,0.4129999999999998,0.012727922061357927,2
price_only_anchor_12,0.5281820110925706,0.01611401503017904,2,0.47919261311225864,0.01605453277398767,2,0.5754647860861178,0.001595530038415445,2,0.2524067908797552,0.0006317633322032398,2,0.30545464610291617,0.05791386425097527,2,0.5401924175533721,0.06686336246983825,2,-0.3403506757250764,0.09133509536524521,2,0.09591918943884714,0.006327154009040881,2,-0.0224360258115827,0.007981496374111947,2,5.0,0.0,2,0.55,0.02545584412271573,2,0.41099999999999987,0.0014142135623731748,2
timesnet_cgcma_val_sharpe_12,0.5622522967894139,0.0034573009790742747,2,0.526145385797479,0.00017708258571134022,2,0.5823915189454776,0.014202473792379993,2,0.24954915289123136,4.6760881242125353e-05,2,0.23264459636778856,0.035349235257316314,2,0.4985003458119832,0.11461746875453302,2,-0.040617972639370295,0.24653854234998837,2,0.07764056742086026,0.008605163697030627,2,-0.0197678000654187,0.005944476481774079,2,5.0,0.0,2,0.6040000000000001,0.0,2,0.3829999999999999,0.012727922061357866,2
timesnet_lite_auc_12,0.5569121947754558,0.029516518943661002,2,0.5014101938969164,0.04031045799519885,2,0.6026057119223052,0.008061550903286573,2,0.2541016127839696,0.012944991143131393,2,0.2780599809914874,0.14273106588821927,2,0.4692713169508381,0.1353654325188609,2,0.05785436236309224,0.7860957025064749,2,0.06410429778004305,0.01213801023570248,2,0.006128422698944999,0.037231107709497877,2,5.0,0.0,2,0.5920000000000001,0.02545584412271573,2,0.4169999999999998,0.035355339059327466,2
timesnet_moe_val_sharpe_12,0.5352233988689552,0.010772541582181105,2,0.49369560765452425,0.004240954062699465,2,0.5653516850320763,0.0016757614282904942,2,0.2540631355114519,0.0017346420145205172,2,0.36546838817566407,0.028314269404457033,2,0.4242325169311729,0.07128528662386358,2,-1.009348840681866,0.3973020584356037,2,0.1346843887967946,0.03309363832487934,2,-0.0979363330338949,0.06153993524927584,2,5.0,0.0,2,0.5980000000000001,0.008485281374238578,2,0.43699999999999983,0.012727922061357809,2
