model,accuracy_mean,accuracy_std,accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,auc_mean,auc_std,auc_count,brier_mean,brier_std,brier_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_mdd_count,downstream_total_return_mean,downstream_total_return_std,downstream_total_return_count,cost_bps_mean,cost_bps_std,cost_bps_count,long_threshold_mean,long_threshold_std,long_threshold_count,short_threshold_mean,short_threshold_std,short_threshold_count
cgcma_anchor,0.5204308966694318,,1,0.4747744889532372,,1,0.5781731865683045,,1,0.2533990399917099,,1,0.3885424415668935,,1,0.5078354388074826,,1,-0.0197443352605316,,1,0.0860096582711028,,1,0.0003824809712067,,1,5.0,,1,0.544,,1,0.4279999999999998,,1
cgcma_return_weighted,0.5221473450876476,,1,0.4651203581279038,,1,0.5686521816081423,,1,0.2585340659143809,,1,0.1402724509286436,,1,0.3584289660847587,,1,-0.4462708352550116,,1,0.0517585827221951,,1,-0.0231433924357977,,1,5.0,,1,0.6040000000000001,,1,0.3699999999999999,,1
cgcma_utility_mean,0.5362717561746435,,1,0.5082182824824093,,1,0.5618265723189023,,1,0.2581669943180104,,1,0.2689766684316294,,1,0.5465978804910102,,1,-0.0335131852029102,,1,0.0838996197650682,,1,-0.0271519390335026,,1,5.0,,1,0.5920000000000001,,1,0.3979999999999998,,1
cgcma_utility_sharpe,0.5511428845433982,,1,0.5101840829897853,,1,0.5586845376239725,,1,0.2561477314992256,,1,0.3211342156613752,,1,0.4703557270941747,,1,-1.016516677750781,,1,0.1452178956477508,,1,-0.08102836089459,,1,5.0,,1,0.6220000000000001,,1,0.4459999999999998,,1
price_only_anchor,0.5167876817925889,,1,0.490544882105527,,1,0.5743365759763674,,1,0.2528535150160611,,1,0.346405932239498,,1,0.4929128805380153,,1,-0.2757670104319915,,1,0.0914452159334427,,1,-0.0167922556014323,,1,5.0,,1,0.532,,1,0.4099999999999998,,1
timesnet_cgcma_utility_mean,0.5623574433788152,,1,0.5233087751541239,,1,0.5871142251541315,,1,0.2505093327696166,,1,0.3255480091074322,,1,0.378702922227566,,1,-0.4785787861065415,,1,0.1177046585695306,,1,-0.0566274833094415,,1,5.0,,1,0.6100000000000001,,1,0.3979999999999998,,1
timesnet_cgcma_utility_sharpe,0.5077516064899978,,1,0.4486574198968334,,1,0.5594855908999171,,1,0.2556840801137485,,1,0.2977355593318569,,1,0.3644630101310478,,1,-0.9682903611001026,,1,0.1108072104901007,,1,-0.0839926018934931,,1,5.0,,1,0.6160000000000001,,1,0.4039999999999998,,1
timesnet_lite_anchor,0.536040864073372,,1,0.4729063956957758,,1,0.6083060892328996,,1,0.2632551038036776,,1,0.3789860855670311,,1,0.5649891322231747,,1,0.6137079642670236,,1,0.07268716712782,,1,0.0324547914314177,,1,5.0,,1,0.6100000000000001,,1,0.3919999999999998,,1
