model,accuracy_mean,accuracy_std,accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,auc_mean,auc_std,auc_count,brier_mean,brier_std,brier_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_mdd_count,downstream_total_return_mean,downstream_total_return_std,downstream_total_return_count,cost_bps_mean,cost_bps_std,cost_bps_count,long_threshold_mean,long_threshold_std,long_threshold_count,short_threshold_mean,short_threshold_std,short_threshold_count
cgcma_auc,0.5075795280959122,,1,0.4633516896755112,,1,0.5537812650753653,,1,0.2555978623385117,,1,0.2465602834069709,,1,0.4302863777089783,,1,-0.7523507491200749,,1,0.0777988696518917,,1,-0.0308781958728138,,1,5.0,,1,0.5800000000000001,,1,0.3919999999999999,,1
cgcma_scalar_val_sharpe,0.5135552353210049,,1,0.4705403023811289,,1,0.5511970764460258,,1,0.2582155891464227,,1,0.4274882958505921,,1,0.455689174190839,,1,-1.579138293760612,,1,0.1509267256854127,,1,-0.0879802890155184,,1,5.0,,1,0.5800000000000001,,1,0.3799999999999999,,1
cgcma_val_sharpe,0.5157960604812489,,1,0.4329671710951961,,1,0.5684645962964037,,1,0.2550107551997039,,1,0.276823791249052,,1,0.4243828807382853,,1,0.0242868711516696,,1,0.0652034196757357,,1,0.0157322696783389,,1,5.0,,1,0.5920000000000001,,1,0.4099999999999998,,1
dual_branch_val_sharpe,0.5283135552689977,,1,0.4606854396128527,,1,0.5598468099528511,,1,0.2520242970413374,,1,0.2318278176920164,,1,0.4489726453740849,,1,-0.6777154851301411,,1,0.0933164023769864,,1,-0.0476620457011744,,1,5.0,,1,0.5800000000000001,,1,0.3919999999999998,,1
learned_gate_val_sharpe,0.5537957872703061,,1,0.5089444998823223,,1,0.5793507231701297,,1,0.2513793733793829,,1,0.2146569208388281,,1,0.4298063198182741,,1,-0.383989672775444,,1,0.077895731957641,,1,-0.0194534840109568,,1,5.0,,1,0.5740000000000001,,1,0.3979999999999998,,1
price_only_anchor,0.5484142940389749,,1,0.4926182817749467,,1,0.5807580471412602,,1,0.2494646510929009,,1,0.3341737787832968,,1,0.5608049900116846,,1,0.0761503572941258,,1,0.0963549617431186,,1,-0.0211600329555738,,1,5.0,,1,0.538,,1,0.3799999999999999,,1
timesnet_cgcma_auc,0.5452855328338652,,1,0.4816339667993642,,1,0.5943756187964166,,1,0.2499265097585306,,1,0.404946280370512,,1,0.4584046738523579,,1,-1.2681950192979952,,1,0.1269189440843506,,1,-0.0746397335057452,,1,5.0,,1,0.556,,1,0.4099999999999998,,1
timesnet_cgcma_scalar_val_sharpe,0.5448447228311557,,1,0.5037618412630268,,1,0.580061205155664,,1,0.2484267435857218,,1,0.3451284300045514,,1,0.3629467045736591,,1,-1.1130349568441285,,1,0.1357036957749144,,1,-0.092311971006517,,1,5.0,,1,0.5800000000000001,,1,0.3799999999999999,,1
timesnet_cgcma_val_sharpe,0.5285499049945408,,1,0.4598135611365147,,1,0.5864263181127966,,1,0.2531014048750318,,1,0.3796258265265212,,1,0.5945133825753286,,1,-0.2559580608220161,,1,0.1215819017486775,,1,-0.0769170879826303,,1,5.0,,1,0.5860000000000001,,1,0.4279999999999998,,1
timesnet_lite_auc,0.5226781662492044,,1,0.4729323407815086,,1,0.590965592936192,,1,0.2522332739985656,,1,0.3661697976028315,,1,0.4766957765659095,,1,-1.06941560702383,,1,0.1102895315180868,,1,-0.061091317341949,,1,5.0,,1,0.592,,1,0.4099999999999998,,1
timesnet_moe_val_sharpe,0.5484615689076817,,1,0.5160558708485583,,1,0.5829199497068779,,1,0.2592546757331378,,1,0.3387188833418265,,1,0.481433200945396,,1,-0.992277977150782,,1,0.1268830923687809,,1,-0.0904169670058337,,1,5.0,,1,0.5920000000000001,,1,0.35,,1
