run_dir,fold_id,model,base_model_1,base_model_2,alpha_model_1,long_threshold,short_threshold,accuracy,macro_f1,auc,brier,trade_rate,hit_rate,downstream_sharpe,downstream_mdd,downstream_total_return,cost_bps
icaif_real_news_costaware_main_20260805_021836_402223_seed42,0,ens_cgcma_timesnet,cgcma,timesnet_lite,0.45,0.6400000000000001,0.31999999999999995,0.5488126649076517,0.3794440667579497,0.5074171518137035,0.25282439756710073,0.1266490765171504,0.375,-2.3238276275385568,0.04468011745734367,-0.039105531731617474,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,1,ens_cgcma_timesnet,cgcma,timesnet_lite,0.9,0.5800000000000001,0.3499999999999999,0.5388739946380697,0.5388441633122484,0.5827140835102619,0.25655854251137944,0.1447721179624665,0.5370370370370371,0.9423190076595084,0.028412939409746873,0.028743884601677736,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,2,ens_cgcma_timesnet,cgcma,timesnet_lite,0.5,0.7000000000000002,0.40999999999999986,0.6430769230769231,0.6428030015917532,0.6637891694554305,0.23154570279858971,0.3353846153846154,0.6238532110091743,2.326128474219379,0.05249566730039387,0.1968145826322792,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,3,ens_cgcma_timesnet,cgcma,timesnet_lite,0.1,0.52,0.4699999999999998,0.6428571428571429,0.6156115271159519,0.6516493055555556,0.24495035084739378,0.29545454545454547,0.6483516483516484,2.822257230979329,0.02760547277828624,0.13664424752245807,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,4,ens_cgcma_timesnet,cgcma,timesnet_lite,0.0,0.52,0.29,0.61731843575419,0.6170764270043643,0.6762493367044355,0.24295779131692744,0.0,0.0,0.0,0.0,0.0,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,0,ens_cgcma_price,cgcma,price_only,0.5,0.6100000000000001,0.3799999999999999,0.5171503957783641,0.35045000327785947,0.4652093596059113,0.2548753396318104,0.19525065963060687,0.32432432432432434,-3.477206418186199,0.0758800679821442,-0.0736415236247818,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,1,ens_cgcma_price,cgcma,price_only,0.65,0.55,0.29,0.5335120643431636,0.5332403198895346,0.5779075253597546,0.25797188896320106,0.04825737265415549,0.6111111111111112,1.5712682870884784,0.005832180429456744,0.035195695003022096,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,2,ens_cgcma_price,cgcma,price_only,0.0,0.55,0.4699999999999998,0.5415384615384615,0.5304242424242425,0.5646486157590508,0.2499966936184577,0.26461538461538464,0.5116279069767442,-0.23609569586297507,0.12957233747328697,-0.01468820838121071,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,3,ens_cgcma_price,cgcma,price_only,0.0,0.52,0.4699999999999998,0.4967532467532468,0.4747785906815557,0.6164279513888888,0.24962621721851244,0.18181818181818182,0.5,1.581862794559567,0.011291098879794898,0.03674857077504236,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,4,ens_cgcma_price,cgcma,price_only,0.05,0.52,0.4699999999999998,0.5363128491620112,0.4935746668030132,0.6551175203670756,0.2469587791018578,0.4329608938547486,0.5741935483870968,0.9835470987668999,0.08376773992935602,0.06783148067748755,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,0,ens_cgcma_early,cgcma,early_fusion,0.30000000000000004,0.6700000000000002,0.43999999999999984,0.525065963060686,0.34429065743944637,0.43386139722346617,0.25549717921185977,0.0,0.0,0.0,0.0,0.0,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,1,ens_cgcma_early,cgcma,early_fusion,0.9,0.5800000000000001,0.31999999999999995,0.5415549597855228,0.5415022319984473,0.5812986553432413,0.25605053304486697,0.09919571045576407,0.5945945945945946,1.7101507685038577,0.01254407811878221,0.04195299231180104,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,2,ens_cgcma_early,cgcma,early_fusion,0.25,0.7000000000000002,0.4699999999999998,0.5076923076923077,0.5047619047619047,0.5004563431700639,0.2660289733240939,0.37538461538461537,0.45081967213114754,-0.7480429852728342,0.1388590213075815,-0.07353286185937641,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,3,ens_cgcma_early,cgcma,early_fusion,0.15000000000000002,0.5800000000000001,0.4699999999999998,0.5227272727272727,0.504546797544401,0.6419270833333334,0.24813439724434114,0.35714285714285715,0.44545454545454544,0.004956348991484239,0.04285759060847699,0.00019920262295471634,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,4,ens_cgcma_early,cgcma,early_fusion,0.15000000000000002,0.52,0.4699999999999998,0.5949720670391061,0.593573592853284,0.6266816493429472,0.24601269036927045,0.2681564245810056,0.5104166666666666,1.0009176825235162,0.03865903000112977,0.0547795223618571,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,0,ens_cgcma_priceweb,cgcma,price_web,0.35000000000000003,0.6700000000000002,0.3799999999999999,0.5277044854881267,0.3454231433506045,0.4968931930138827,0.2565698366055998,0.0,0.0,0.0,0.0,0.0,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,1,ens_cgcma_priceweb,cgcma,price_web,0.9500000000000001,0.5800000000000001,0.3499999999999999,0.5361930294906166,0.5361930294906166,0.5781139419674451,0.2566310204187892,0.14209115281501342,0.5283018867924528,0.9325400282083753,0.028412939409746873,0.028444927451011234,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,2,ens_cgcma_priceweb,cgcma,price_web,0.0,0.5800000000000001,0.4699999999999998,0.5507692307692308,0.5194255388105655,0.4818983875874658,0.25678856747622447,0.22153846153846155,0.5138888888888888,-0.5799674829341578,0.056955684001689405,-0.037287632162773005,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,3,ens_cgcma_priceweb,cgcma,price_web,0.05,0.55,0.4699999999999998,0.525974025974026,0.5072755960729314,0.6439670138888889,0.24881983114949138,0.4448051948051948,0.4744525547445255,0.2444364879075757,0.04749490314042446,0.010630250234661751,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,4,ens_cgcma_priceweb,cgcma,price_web,0.35000000000000003,0.55,0.4699999999999998,0.5670391061452514,0.5540930385799121,0.6470331179573618,0.24569432476946126,0.1340782122905028,0.6875,2.026506810295244,0.03801140952754935,0.09240073322473669,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,0,ens_cgcma_textweb,cgcma,text_web_mlp,0.8500000000000001,0.7000000000000002,0.31999999999999995,0.5356200527704486,0.3487972508591065,0.4774126735333632,0.2588531446414283,0.013192612137203167,0.0,-1.2139515906890983,0.013092066734629593,-0.013119484167594002,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,1,ens_cgcma_textweb,cgcma,text_web_mlp,1.0,0.55,0.29,0.5281501340482574,0.5281196089706728,0.5782908704883227,0.25584592597429967,0.11796246648793565,0.6590909090909091,2.246579468424432,0.01641639119532339,0.07238871092918688,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,2,ens_cgcma_textweb,cgcma,text_web_mlp,0.1,0.5800000000000001,0.4699999999999998,0.49230769230769234,0.4923076923076923,0.4761940979616672,0.2587049317368617,0.4707692307692308,0.43137254901960786,-2.1800241265799087,0.2508168000835999,-0.27086066501205747,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,3,ens_cgcma_textweb,cgcma,text_web_mlp,0.1,0.55,0.4699999999999998,0.551948051948052,0.5275443510737627,0.5569444444444445,0.24853334598626695,0.08766233766233766,0.4444444444444444,0.40528986691787716,0.02294527740713259,0.010582404628771093,5.0
icaif_real_news_costaware_main_20260805_021836_402223_seed42,4,ens_cgcma_textweb,cgcma,text_web_mlp,1.0,0.52,0.43999999999999984,0.49441340782122906,0.33084112149532713,0.6671660892093517,0.2469786766130152,0.09776536312849161,0.6857142857142857,1.1927303824884163,0.03197245375924882,0.04533402774311996,5.0
icaif_real_news_costaware_main_20260805_022944_722327_seed123,0,ens_cgcma_timesnet,cgcma,timesnet_lite,0.65,0.6100000000000001,0.43999999999999984,0.5118733509234829,0.34335109620985793,0.4666088222122705,0.25411286829093394,0.08970976253298153,0.3235294117647059,-2.848103821569505,0.038365077129671854,-0.039024278117288355,5.0
icaif_real_news_costaware_main_20260805_022944_722327_seed123,1,ens_cgcma_timesnet,cgcma,timesnet_lite,1.0,0.55,0.29,0.5227882037533512,0.49533292794162365,0.5849846661948572,0.2669216263869478,0.05361930294906166,0.75,1.772978960917904,0.008216932361677023,0.04094017666633899,5.0
icaif_real_news_costaware_main_20260805_022944_722327_seed123,2,ens_cgcma_timesnet,cgcma,timesnet_lite,0.65,0.7000000000000002,0.43999999999999984,0.5384615384615384,0.5368787049703603,0.5171128688773958,0.26041927522357755,0.3292307692307692,0.5046728971962616,0.8372419742791138,0.08014893131341605,0.07519137227334909,5.0
icaif_real_news_costaware_main_20260805_022944_722327_seed123,3,ens_cgcma_timesnet,cgcma,timesnet_lite,0.05,0.6700000000000002,0.4699999999999998,0.5454545454545454,0.4817307692307692,0.508203125,0.2521206406666517,0.24025974025974026,0.4594594594594595,-1.3267523827297885,0.05302089863513404,-0.0416012893519879,5.0
